"STATISTIC","Statistic Label","TLIST(Q1)","Quarter","C01921V02511","Type of Construction","UNIT","VALUE"
"BHQ03C1","Planning Permissions Granted","19871","1987Q1","2","Extensions","Number","2230"
"BHQ03C1","Planning Permissions Granted","19871","1987Q1","3","Alteration, conversion and renovation","Number","669"
"BHQ03C1","Planning Permissions Granted","19872","1987Q2","-","All types of construction","Number","6584"
"BHQ03C1","Planning Permissions Granted","19872","1987Q2","11","Dwellings","Number","1878"
"BHQ03C1","Planning Permissions Granted","19872","1987Q2","12","Other new construction (excluding dwellings)","Number","1219"
"BHQ03C1","Planning Permissions Granted","19872","1987Q2","2","Extensions","Number","2757"
"BHQ03C1","Planning Permissions Granted","19872","1987Q2","3","Alteration, conversion and renovation","Number","730"
"BHQ03C1","Planning Permissions Granted","19873","1987Q3","-","All types of construction","Number","7044"
"BHQ03C1","Planning Permissions Granted","19873","1987Q3","11","Dwellings","Number","2037"
"BHQ03C1","Planning Permissions Granted","19873","1987Q3","12","Other new construction (excluding dwellings)","Number","1349"
"BHQ03C1","Planning Permissions Granted","19873","1987Q3","2","Extensions","Number","2823"
"BHQ03C1","Planning Permissions Granted","19873","1987Q3","3","Alteration, conversion and renovation","Number","835"
"BHQ03C1","Planning Permissions Granted","19874","1987Q4","-","All types of construction","Number","5079"
"BHQ03C1","Planning Permissions Granted","19874","1987Q4","11","Dwellings","Number","1460"
"BHQ03C1","Planning Permissions Granted","19874","1987Q4","12","Other new construction (excluding dwellings)","Number","1101"
"BHQ03C1","Planning Permissions Granted","19874","1987Q4","2","Extensions","Number","1819"
"BHQ03C1","Planning Permissions Granted","19874","1987Q4","3","Alteration, conversion and renovation","Number","699"
"BHQ03C1","Planning Permissions Granted","19881","1988Q1","-","All types of construction","Number","4341"
"BHQ03C1","Planning Permissions Granted","19881","1988Q1","11","Dwellings","Number","1457"
"BHQ03C1","Planning Permissions Granted","19881","1988Q1","12","Other new construction (excluding dwellings)","Number","870"
"BHQ03C1","Planning Permissions Granted","19881","1988Q1","2","Extensions","Number","1437"
"BHQ03C1","Planning Permissions Granted","19881","1988Q1","3","Alteration, conversion and renovation","Number","577"
"BHQ03C1","Planning Permissions Granted","19882","1988Q2","-","All types of construction","Number","5126"
"BHQ03C1","Planning Permissions Granted","19882","1988Q2","11","Dwellings","Number","1686"
